Time,Red Objects,Yellow Objects,Green Objects,Total Energy (Red),Total Energy (Yellow),Total Energy (Green)
50,17,49,23,1119.545703125121,5340.428125000231,1562.9000000000403
51,15,49,27,1074.8457031251141,5338.778125000242,2023.6000000000372
52,13,55,30,1037.145703125107,5883.15937500026,2308.6000000000377
53,13,59,25,998.1457031251088,6421.225000000274,1834.100000000036
54,13,61,22,959.1457031251103,6681.890625000287,1537.1000000000358
55,13,63,20,920.1457031251118,6826.548437500299,1343.1000000000352
56,13,64,19,1048.9238281251176,6711.020312500307,1247.6000000000347
57,15,63,19,1134.69101562513,6554.27031250031,1219.100000000036
58,15,65,17,1089.6910156251315,6671.085937500326,1065.6000000000333
59,15,67,16,1044.6910156251333,6724.84843750034,979.1000000000323
60,15,67,14,999.6910156251349,6661.648437500353,886.3000000000276
61,15,67,13,954.6910156251364,6536.398437500363,857.5000000000251
62,15,67,12,909.6910156251373,6459.998437500372,781.5000000000238
63,15,67,10,864.691015625138,6460.498437500382,628.0000000000211
64,15,67,10,819.6910156251381,6326.498437500388,613.000000000022
65,17,66,9,1049.5535156251522,6072.323437500391,546.0000000000201
66,17,68,8,998.5535156251527,6125.289062500403,455.0000000000196
67,17,68,8,947.5535156251534,5989.289062500408,443.0000000000203
68,17,68,8,896.5535156251541,5853.089062500414,431.000000000021
69,17,67,8,930.5910156251582,5633.451562500414,419.00000000002166
70,15,67,14,890.7785156251416,5499.451562500419,998.0000000000229
71,15,67,14,845.7785156251418,5365.151562500423,977.0000000000241
72,15,67,12,800.7785156251422,5395.4015625004295,793.5000000000231
73,15,67,11,755.7785156251424,5302.601562500437,735.5000000000207
74,15,66,10,710.7785156251426,5263.801562500436,626.5000000000213
75,15,66,10,665.778515625143,5131.801562500439,611.500000000022
76,15,66,10,620.7785156251432,4993.801562500443,596.500000000023
77,15,69,7,619.6285156251523,5300.062500000449,317.5000000000217
78,14,69,10,579.5285156251441,5161.962500000453,602.5000000000226
79,14,69,10,537.528515625144,5023.962500000456,587.5000000000231
80,16,68,9,686.2058593751681,4916.412500000452,477.00000000002314
81,18,68,9,836.642968750193,4793.5781250004475,463.5000000000234
82,18,68,9,782.6429687501937,4657.57812500045,450.00000000002365
83,16,68,14,736.4007812501803,4612.778125000453,936.5000000000239
84,13,72,20,699.4726562501494,4904.472656250466,1583.0000000000214
85,13,74,19,660.4726562501502,4953.962109375471,1456.0000000000223
86,10,74,25,636.6660156251253,4948.712109375482,2174.500000000017
87,10,73,24,622.9535156251296,4883.374609375483,2040.0000000000186
88,10,73,23,592.9535156251304,4752.174609375489,1986.5000000000168
89,10,73,20,562.9535156251311,4879.6246093754935,1682.0000000000168
90,10,73,18,532.9535156251319,4840.824609375501,1545.0000000000146
91,10,71,17,502.9535156251326,4774.824609375493,1439.0000000000148
92,8,71,21,484.91914062511785,4805.7246093754975,1833.0000000000152
93,8,68,16,491.92539062512765,5149.643359375479,1396.0000000000116
94,8,68,15,467.9253906251279,5096.643359375484,1288.500000000012
